instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
isolated/alternative/root_1000.uvl,0.83;0.87;0.83,1002002,0.49;0.50;0.47,1002,0.00;0.00;0.00,3.00;2.93;3.20,1000,10.88;9.49;9.40,1000,18.37;17.83;17.93,1000
isolated/alternative/root_100.uvl,0.46;0.48;0.49,10202,0.38;0.38;0.37,102,0.01;0.00;0.00,0.11;0.09;0.11,100,0.11;0.04;0.04,100,0.03;0.03;0.03,100
isolated/alternative/root_1100.uvl,0.98;0.96;1.03,1212202,0.50;0.50;0.61,1102,0.00;0.00;0.00,4.17;4.08;4.19,1100,13.10;13.02;15.48,1100,22.69;23.27;18.16,1100
isolated/alternative/root_1200.uvl,1.03;1.03;1.07,1442402,0.51;0.52;0.49,1202,0.00;0.00;0.00,5.09;6.30;6.24,1200,17.47;17.44;17.29,1200,33.21;33.97;32.90,1200
isolated/alternative/root_1300.uvl,1.05;1.05;1.17,1692602,0.54;0.52;0.52,1302,0.00;0.00;0.00,8.11;7.88;7.62,1300,22.60;22.15;21.96,1300,29.81;30.98;31.81,1300
isolated/alternative/root_1400.uvl,1.17;1.12;1.01,1962802,0.52;0.58;0.52,1402,0.01;0.01;0.01,7.87;9.73;8.57,1400,27.62;27.92;27.77,1400,33.39;30.00;29.68,1400
isolated/alternative/root_1500.uvl,1.28;1.28;1.33,2253002,0.52;0.58;0.58,1502,0.00;0.00;0.00,10.19;10.04;10.45,1500,33.24;33.68;37.68,1500,52.29;51.27;45.12,1500
isolated/alternative/root_1600.uvl,1.21;1.19;1.41,2563202,0.63;0.59;0.56,1602,0.03;0.00;0.00,14.33;14.35;14.44,1600,40.09;40.59;39.79,1600,73.81;73.45;74.73,1600
isolated/alternative/root_1700.uvl,1.43;1.37;1.44,2893402,0.53;0.75;0.59,1702,0.00;0.00;0.00,19.87;19.92;20.38,1700,48.74;47.98;47.21,1700,92.50;197.24;99.36,1700
isolated/alternative/root_1800.uvl,1.53;1.66;1.69,3243602,0.55;0.61;0.57,1802,0.01;0.00;0.00,21.19;22.57;22.59,1800,57.02;56.80;56.83,1800,124.96;123.46;137.73,1800
isolated/alternative/root_1900.uvl,1.69;1.67;1.67,3613802,0.72;0.57;0.62,1902,0.00;0.00;0.00,28.49;27.63;23.28,1900,66.38;64.73;66.39,1900,167.39;188.04;190.61,1900
isolated/alternative/root_2000.uvl,1.72;1.75;1.74,4004002,0.61;0.72;0.61,2002,0.01;0.00;0.00,37.49;37.22;34.18,2000,75.62;76.38;75.78,2000,198.77;194.32;207.88,2000
isolated/alternative/root_200.uvl,0.51;0.58;0.56,40402,0.41;0.44;0.44,202,0.05;0.01;0.00,0.12;0.12;0.12,200,0.14;0.14;0.14,200,0.35;0.10;0.11,200
isolated/alternative/root_2100.uvl,1.80;1.80;1.74,4414202,0.73;0.60;0.67,2102,0.00;0.00;0.00,37.91;39.85;43.93,2100,87.61;87.11;87.23,2100,289.69;256.62;291.04,2100
isolated/alternative/root_2200.uvl,1.90;1.83;1.91,4844402,0.67;0.72;0.74,2202,0.02;0.02;0.00,34.24;35.02;42.13,2200,78.43;77.52;75.23,2200,382.95;375.49;356.59,2200
isolated/alternative/root_2300.uvl,1.93;2.01;1.94,5294602,0.63;0.76;0.58,2302,0.00;0.00;0.00,48.03;48.58;48.15,2300,90.21;90.34;90.03,2300,440.27;438.31;448.72,2300
isolated/alternative/root_2400.uvl,2.20;2.12;1.99,5764802,0.73;0.72;0.71,2402,0.04;0.00;0.00,55.34;55.45;53.94,2400,103.44;103.28;102.39,2400,508.46;511.99;512.85,2400
isolated/alternative/root_2500.uvl,2.31;2.32;2.34,6255002,0.78;0.74;0.70,2502,0.01;0.05;0.00,65.65;66.25;63.02,2500,115.21;115.74;116.58,2500,423.38;478.85;437.96,2500
isolated/alternative/root_2600.uvl,2.39;2.30;2.49,6765202,0.75;0.72;0.75,2602,0.01;0.01;0.01,84.99;80.17;71.77,2600,130.99;131.61;131.87,2600,549.20;440.00;486.96,2600
isolated/alternative/root_2700.uvl,2.62;2.68;2.66,7295402,0.66;0.77;0.80,2702,0.00;0.00;0.01,85.60;86.17;80.51,2700,148.35;148.67;147.89,2700,-1;480.37;-1,-9
isolated/alternative/root_2800.uvl,2.72;2.86;2.70,7845602,0.84;0.82;0.80,2802,0.00;0.01;0.00,90.07;90.62;90.19,2800,166.21;166.04;162.59,2800,-1;-1;512.31,2800
isolated/alternative/root_2900.uvl,3.21;3.19;3.20,8415802,0.70;0.81;0.77,2902,0.00;0.01;0.01,111.77;109.88;106.26,2900,187.65;182.27;182.36,2900,-1;-1;-1,-9
isolated/alternative/root_3000.uvl,3.02;3.00;3.07,9006002,0.81;0.74;0.75,3002,0.01;0.01;0.01,111.86;111.41;103.55,3000,204.85;207.14;205.00,3000,-1;-1;-1,-9
isolated/alternative/root_300.uvl,0.55;0.60;0.60,90602,0.42;0.43;0.43,302,0.00;0.00;0.00,0.19;0.19;0.19,300,0.41;0.41;0.41,300,0.53;0.42;0.40,300
isolated/alternative/root_3100.uvl,3.17;3.11;3.10,9616202,0.87;0.87;0.83,3102,0.01;0.01;0.01,142.40;137.67;118.17,3100,227.83;227.73;226.82,3100,-1;-1;-1,-9
isolated/alternative/root_3200.uvl,3.44;3.12;3.17,10246402,0.82;0.77;0.85,3202,0.01;0.01;0.01,131.57;132.04;115.65,3200,266.28;251.65;248.49,3200,-1;-1;-1,-9
isolated/alternative/root_3300.uvl,3.43;3.30;3.45,10896602,0.83;0.76;0.88,3302,0.01;0.01;0.01,132.42;132.02;136.88,3300,271.31;273.25;274.61,3300,-1;-1;-1,-9
isolated/alternative/root_3400.uvl,3.88;3.46;3.62,11566802,0.89;0.83;0.81,3402,0.01;0.01;0.01,173.33;168.85;171.45,3400,301.11;299.19;299.78,3400,-1;-1;-1,-9
isolated/alternative/root_3500.uvl,3.62;4.02;3.60,12257002,0.79;0.88;0.83,3502,0.01;0.01;0.01,198.94;189.84;181.49,3500,327.08;327.71;325.26,3500,-1;-1;-1,-9
